DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
ALEMÁN A1.1 FUNDACIÓN LINGUAM,Formación complementaria,present salud desped identific pregunt dar dat deletr entend audicion salud present idiom comprend text escrit tarjet visit formulari dat personal produc text oral salud present pregunt personal formul cortes deletr pregunt algui telefon produc text escrit email sencill present anunci contact dat personal rellen formulari dat personal present familiar amig compañer clas ped dar dat personal entrevist interes anim dar ped numer telefon entend audicion pregunt dat personal inform anim numer comprend text escrit mensaj brev email formulari dat personal tarjet postal sencill brev produc text oral present famili amig pregunt dat personal orig identific numer telefon reconoc relacion parentesc describ expres suger gust compar valor indic pregunt preci cantidad identific aliment beb hac compr ped com beb habl com entend audicion preci cantidad hac compr aliment gust comprend text escrit follet publicitari aliment peci cantidad recet sencill cocin produc text oral pregunt explic signific palabr dec preci cantidad ped aliment cont produc text escrit list compr product cantidad preci,"Finalizado el nivel A1.1 del marco de Referencia Europeo, el alumno es capaz de comprender y utilizar expresiones cotidianas de uso muy frecuente. Puede presentarse a sí mismo y a otros, pedir y dar información personal básica.    Comprensión auditiva y lectora    El alumno  debe reconocer palabras y expresiones muy básicas que se  usan habitualmente, relativas a sí mismo, a su familia y a su entorno inmediato cuando se habla despacio y con claridad. Es capaz de comprender palabras y frases sencillas, por ejemplo las que hay en letreros, carteles y catálogos.    Interacción y expresión oral    El alumno puede participar en una conversación sencilla siempre que la otra persona esté dispuesta a repetir lo que ha dicho o a decirlo con otras palabras y a una velocidad más lenta y le ayude a formular lo que intenta decir. Plantea y contesta preguntas sencillas sobre temas de necesidad inmediata o asuntos muy habituales. Puede participar en una conversación sencilla. Utiliza expresiones y frases sencillas para describir el lugar donde vive y las personas que conoce    Expresión escrita    El alumno es capaz de comprender y utilizar expresiones cotidianas de uso muy frecuente. Puede  presentarse a sí mismo y a otros, pedir y dar información personal básica.",Lenguas extranjeras,es
"ANALISIS ECONÓMICO FINANCIERO DE LA EMPRESA, FINANZAS PARA NO FINANCIEROS Y CONTABILIDAD DE GESTION",Administración y gestión,financier basic aproxim analisis econom financier analisis financier analisis econom neces contabil gestion cost control gestion sistem calcul cost tom decision empres mund analisis funcional contabil registr vid empres cuent anual financier aproxim analisis economicofinancier analisis financier analisis econom prevision presupuest,"Este curso pretende dar una visión integral de los conceptos e instrumentos clave de contabilidad y finanzas imprescindibles para el análisis, planificación y control de las actividades y resultados de la gestión de la empresa, exponiendo en primer lugar y de forma clara los conceptos y terminología clave del  lenguaje financiero , además de posibilitar la comprensión y análisis de los estados contables (balance y cuenta de resultados) partiendo de un nivel básico, y por último facilitar la interpretación de la situación económica y patrimonial e la empresa, a través de los instrumentos de análisis.",Finanzas y seguros,es
PREVENCIÓN DE RIESGOS EN EL SECTOR DE LA CONSTRUCCIÓN,Seguridad y medio ambiente,concept basic segur salud trabaj salud riesg profesional factor riesg dañ deriv trabaj accident trabaj enfermedad profesional patolog deriv trabaj marc normat basic materi prevencion riesg laboral deber oblig basic materi b riesg general prevencion riesg lig condicion segur riesg lig medi ambient trabaj carg trabaj fatig insatisfaccion laboral sistem elemental control riesg medi proteccion colect equip proteccion individual plan emergent evacu control salud trabaj c riesg especif prevencion sector construccion diferent fas obra proteccion correspondient red barandill andami plataform trabaj escaler etc implant obra local higien sanitari instal provisional etc d element basic gestion prevencion riesg organ public relacion segur salud trabaj organiz prevent trabaj rutin basic document recog elabor archiv represent trabaj derech oblig deleg prevencion comit segur salud trabaj design etc primer auxili proced general plan actuacion,Prevención de riesgos laborales en el sector de la construcción.,Seguridad y prevención,es
PLANES DE EVACUACIÓN Y EMERGENCIAS,Seguridad y medio ambiente,ud marc normat ley prevencion riesg laboral real decret marz aprueb norm basic autoproteccion centr establec dependent dedic activ pued dar orig situacion emergent ud plan emergent empres objet desarroll factor riesg accion deb emprend cad cas equip autoproteccion composicion denomin criteri seleccion component equip autoproteccion esquem operacional desarroll plan emergent ud evacu plan emergent evalu riesg medi proteccion ud implant plan emergent final respons organiz metodolog aplic manten simulacr program implant program manten investig siniestr ud prevencion riesg incendi introduccion descripcion incendi activ asoci causal tipolog efect consecuent respuest prevent ud primer auxili conduct accident her hemorragi quemadur accident produc electr asfixi orig electr traumat fractur norm primer auxili anex list comprob previ elabor plan emergent anex definicion termin utiliz proteccion incendi plan emergent,Aprender los contenidos del manual de autoprotección.  Determinar en qué consiste un plan de emergencias.  Aprender pautas para implantar un plan de emergencias.  Conocer los medios que existen para prevenir los incendios.,Seguridad y prevención,es
PREPARACIÓN CERTIFICATE IN ADVANCED ENGLISH (CAE),Formación complementaria,gramat inversion verb uso participi present pas uso gerundi infinit conjuncion phrasal verbs tiemp verbal voz pasiv repas gramat general vocabulari domini famili lexic frecuent ingles vocabulari vid estudiantil profesional cienci tecnolog medioambient econom polit justici medi comun artes notici tem interes actual etc comprension realiz ejercici comprension text comprension audit comun oral particip convers debat describ fot compar situacion coment tem cultur general actual comun escrit escrib emails cart personal profesional inform propuest articul reseñ composicion discurs descript etc,"Capacitar a los alumnos para que superen el examen Certificate in Advanced English de Cambridge ESOL, reconocido a nivel internacional.",Lenguas extranjeras,es
GRUAS TRANSTAINER PRACTICAS,Transporte y mantenimiento de vehículos,descripcion puest trabaj oblig respons sistem elev carg contenedor norm posicion gru cabez tractor actuacion elev contenedor problem cantoner trim spresd traslacion gru cambi call sistem informat gru transtain activ sistem emergent activ sistem sonor lumin manten prevent transtain prevencion riesg laboral transtain,"EL ALUMNO ADQUIRIRÁ UN CONOCIMIENTO GENERAL DE LA OPERATIVA PROPIA DEL OFICIAL MANIPULANTE TRANSTAINER, ASI COMO DE LA MANIPILACIÓN DE LA MAQUINARIA Y PREVENCIÓN DE RIESGOS LABORALES PROPIUOS DEL PUESTO DE TRABAJO.",Naútica,es
I,Servicios socioculturales y a la comunidad,teor inteligent multipl aplic aul aprendizaj cooper aprendizaj bas proyect,Dotar a los docentes de nuevas herramientas metodológicas para que utilicen el aula,Formación y educación,es
DIRECCIÓN Y GESTIÓN DE EMPRESAS DE TRANSPORTE Y LOGÍSTICA,Transporte y mantenimiento de vehículos,are direccion general direccion estrategi entorn econom jurid habil gestor transport habil direct plan empres are direccion economicofinanc introduccion finanz financier fundament contabil financ estudi clasif cost tom decision analisis financier empres analisis econom empres rentabil analisis evalu seleccion proyect inversion planif control influenci carg fiscal gestion econom empres are direccion marketing gestion comercial empres marketing merc segment investig comercial polit productoservici polit preci polit distribu polit comun relacion public organiz comercial plan marketing are direccion recurs human organiz introduccion direccion recurs human sistem gestion analisis descripcion puest trabaj seleccion personal cultur empres integr desarroll recurs human relacion laboral prevencion riesg laboral plan recurs human habil docent are direccion oper proces gestion calid peculiar subsector transport entorn normat econom social transport carreter logist multimodal logist multimodal oper maritim short shipping logist intermodal transport combin oper ffcc carreter," Facilitar una base consistente de conocimiento en todas las áreas de interés para la función de gestión técnica y directiva de una empresa de transporte y logística.     Desarrollar y entrenar las habilidades profesionales y personales necesarias para asumir en el futuro, y optimizar en la actualidad, el rol del técnico y directivo.     Adquirir una visión global de la empresa de transportes, en un entorno de mercado global.     Orientación hacia la Multimodalidad, en consonancia con las propuestas realizadas por el Ministerio de Fomento, mediante la inclusión de una formación específica sobre los modos marítimo-terrestres y ferroviario-carretera.",Conducción de vehículos por carretera,es
FORMACIÓN LINGÜÍSTICA PARA EL PROFESORADO,Formación complementaria,conten trinity caract oral ingles conversacional nivel bbc variedad dialectal ingles habl convers parej grup exposicion oral argument ingles estrategi comprension oral lengu extranjer,Formación del profesorado especialista en la competencia de comunicación oral del idioma inglés.,Lenguas extranjeras,es
PREVENCIÓN DE RIESGOS LABORALES BÁSICO A,Seguridad y medio ambiente,concept basic segur salud trabaj salud riesg profesional factor riesg laboral incident factor riesg salud dañ deriv trabaj accident trabaj enfermedad profesional diferent accident trabaj enfermed profesional patolog deriv trabaj marc normat basic materi prevencion riesg deber oblig basic materi polit prevencion riesg laboral foment tom concienci particip inform consult propuest empresari trabaj riesg general prevencion caid person distint mism nivel proyeccion fragment particul golp cort objet herramient atrap vuelc maquin golp atrap derrumb contact electr sobreesfuerz exposicion polv ruid dermatitis profesional riesg contamin riesg lig medi ambient trabaj contamin quimic toxicolog laboral medicion exposicion contamin correccion ambiental contamin fisic energ mecan energ termic energ electromagnet contamin biolog carg trabaj fatig insatisfaccion laboral sistem elemental control riesg proteccion colect equip proteccion individual control riesg deriv trabaj altur caracterist riesg caid altur caracterist general disposit clasif camp aplic plan emergent evacu organiz plan emergent señaliz control vigil salud trabaj riesg especif prevencion divers sector activ matriz riesg especif sector activ riesg especif sector industri riesg especif sector construccion riesg present obra riesg especif sector transport carreter riesg especif sector comerci hostel turism riesg especif sector oficin despach riesg especif sector sanitari element basic gestion prevencion intervencion administr public materi prevent organiz prevent trabaj proced general planif document recog elabor archiv represent trabaj primer auxili proced general eslabon caden socorr evalu primari accident norm general situacion urgenci reanim cardiopulmon actitud segu her hemorragi fractur traumat craneoencefal lesion column quemadur lesion ocular intox mordedur picadur lesion animal marin plan actuacion,"Dotar de la formación mínima necesaria para el desempeño de las funciones de nivel básico * en empresas que desarrollen actividades del Anexo I del RD 39/1997 de 39 de enero, por el que se aprueba el Reglamento de los Servicios de Prevención, BOE nº17 de 31 de enero de 1997. Esta formación mínima debe tener una duración no inferior a 50 horas, con un contenido y una distribución horaria conforme al apartado A) del Anexo IV del citado Real Decreto. *funciones de nivel básico:  Promover los comportamientos seguros y la correcta utilización de los equipos de trabajo y protección, y fomentar el interés y cooperación de los trabajadores en una acción preventiva integrada.  Promover, en particular, las actuaciones preventivas básicas, tales como el orden, la limpieza, la señalización y el mantenimiento general, y efectuar su seguimiento y control.  Realizar evaluaciones elementales de riesgos y, en su caso, establecer medidas preventivas del mismo carácter compatibles con su grado de formación.  Colaborar en la evaluación y el control de los riesgos generales y específicos de la empresa, efectuando visitas al efecto, atención a quejas y sugerencias, registro de datos, y cuantas funciones análogas sean necesarias.  Actuar en caso de emergencia y primeros auxilios gestionando las primeras intervenciones al efecto.  Cooperar con los servicios de prevención.",Seguridad y prevención,es
CAMBIO DE ESTACION A ESTACION,Transporte y mantenimiento de vehículos,conoc dependent manej aplic instal segur caracterist especif instal proced segur aplic ambit afect document consign c estacion line aplic practic conoc adquir cumpliment libret practic corrrespondient,"Capacitar en la operativa, manejo de instalaciones de seguridad y en las  características y el bloqueo de la línea a la que pertenezca la estación  afectada.",Ferrocarril y cable,es
CURSO DIRECTORES DE CENTROS DE SERVICIOS SOCIALES (PARTE II),Administración y gestión,modul v asistent social dependent planif coordin sociosanitari servici integral atencion sociosanitari conceptualiz evalu dependent evalu neces biopsicosocial person dependient derech person dependient intervencion psicosocial integr convivent social famili person dependient prestacion servici social person dependient domicili atencion domiciliari atencion diurn program respir teleasistent ayud instrumental manutencion atencion residencial sustitut cuid hog apoy famili cuidador informal modul vi calid prestacion servici fundament principi calid total norm gui model gestion calid diseñ implement sistem planif calid control evalu calid servici asistencial gestion calid control caracterist servici control prestacion sistem inform soport gestion calid modul vii salud laboral prevencion riesg laboral gestion prevent centr salud segur laboral ergonom psicosociolog medicin trabaj segur program prevencion fisic prevencion incendi legisl prevencion riesg laboral organiz formacion modul viii trabaj practic desarroll entreg trabaj evalu continu practic modular modul ix trabaj fin curs,"1.- Formar al futuro Director, en las funciones de coordinación de los recursos humanos, técnicos y económicos necesarios para el desarrollo de los objetivos y directrices de la actividad del centro que dirija, con el fin de optimizar el funcionamiento y la calidad en la prestación de sus servicios.  2.- Proporcionar los conocimientos necesarios en las distintas áreas de los Servicios Sociales, para poder desarrollar una adecuada labor profesional.",Administración y auditoría,es
ITC NAVE,Seguridad y medio ambiente,peligr asoci tar defin desarroll puest trabaj med prevent acord peligr asoci activ anterior equip trabaj equip proteccion individual medi auxiliar utiliz puest trabaj control vigil lug trabaj entorn interferent activ definicion trabaj definicion tod tar desarroll puest trabaj tecnic prevent proteccion especif cad puest trabaj particul equip trabaj equip proteccion individual medi auxiliar utiliz puest trabaj control vigil lug trabaj entorn interferent activ normat legisl normat legisl modul iguald gener identific desigualdad gener ambit trabaj sensibiliz situacion mujer relacion gener mund promov iguald gener element imprescind alcanz desarroll human sosten conten polit iguald españ plan iguald ley ley iguald oportun mujer hombr desigualdad razon gener rol estereotip femin particip polit liderazg mujer,--Formación preventiva para el desempeño del puesto de trabajo encuadrados en los grupos 5.1 y 5.2.  -Formación preventiva para el desempeño del puesto de trabajo encuadrados en los grupos 5.4 y 5.5.   MODULO DE IGUALDAD DE GENERO   Identificar las desigualdades de género en el ámbito del  trabajo.   Sensibilizar sobre la situación de las mujeres y las relaciones de género en el mundo.   Promover la igualdad de género como elemento imprescindible para alcanzar un desarrollo humano sostenible.,Seguridad y prevención,es
ACTUALIZACION RCF LICENCIA-TRABAJOS RAEI,Transporte y mantenimiento de vehículos,antecedent rcf marc legal plan implement nuev reglament libr principi fundamental libr señal ferroviari libr circul libr bloque tren libr instal segur orden fom funcion titul habilit norm adif reglament consign,Actualizar los conocimientos en el nuevo Reglamento al personal  habilitado según la Orden FOM 2872/2010 y Mandos Inmediatos que  requieran estos conocimientos para desarrollar sus funciones.,Ferrocarril y cable,es
ITC ARRANQUE,Industrias extractivas,º definicion trabaj definicion tod tar desarroll puest trabaj cad maquin particul º tecnic prevent proteccion especif puest trabaj cad maquin particul peligr asoci siguient tar comenz trabaj revision maquin puest march inclu sistem incid segur º equip herramient medi auxiliar cad maquin particul º control vigil lug trabaj entorn º normat legisl ley noviembr prevencion riesg laboral derech oblig,"La presente especificación técnica tiene por objeto desarrollar el contenido mínimo de la formación preventiva específica para el desempeño del puesto de operador de maquinaria de arranque/carga/viales en actividades extractivas de exterior, en particular los puestos de operador de pala cargadora, operador de excavadora hidráulica de cadenas y operador de tractor de cadenas, según lo establecido en el apartado 6.2 de la instrucción técnica complementaria 02.1.02 «Formación preventiva para el desempeño del puesto de trabajo», del Reglamento General de Normas Básicas de Seguridad Minera.",Piedra natural,es
ITC TRANSPORTE,Industrias extractivas,definicion volquetemaquin autopropuls rued caden caj abiert transport vuelc extiend material carg maquin efectu medi extern camionvehicul autopropuls rued caj abiert realiz transport material aquell zon explot previst uso cas transport extern carreter distribu product usuari final carg vehicul efectu medi extern conten º definicion trabajosdefinicion tod tar desarroll puest trabaj cad maquin particul º tecnic prevent proteccion especif puest trabaj cad maquin particul peligr asoci siguient tar comenz trabaj revision maquin puest march inclu sistem incid segur oper basic manten remolc acces puest oper volquet punt manten b trabaj arranqu motor prepar maquin ejecu trabaj carg material transport material circul pist descarg material tolv estacion carg material volquet situ frent descarg volquet escombrer talud circul volquet acces plataform trabaj peligr residual asoci cad maquin particul especific manual instruccion maquin med prevent acord peligr asoci tar anterior med prevencion proteccion indic fabric equip realiz manten posibl prescripcion limit impuest taller repar manten cad maquin particul med incorpor maquin particul cas adecu disposicion establec anex i real decret equip proteccion colect individual primer auxili plan emergent evacu º equip herramient medi auxiliar cad maquin particul conoc general maquin limit tecnic uso previst maquin segun especif fabric element sistem segur asoci maquin bloque segur bloque mecan mand bascul bloque transmision control presion temperatur sistem principal resguard corr ventil indic advertent peligr avis acust march atras cinturon segur anclaj fren emergent disposit ilumin indic espej retrovisor bloque segur adicional existent volquet bloque mecan caj bloque mecan articul chasis bloque transmision oper descarg direccion emergent volquet estructur proteccion ropsfops volquet sistem calefactor caj volquet espej segur volquet manual instruccion º control vigil lug trabaj entorn conoc disposit segur control vigil funcion maquin manometr termometr indic nivel panel alarm acust lumin indic carg control bascul control vigil lug trabaj segun proced intern º interferent activ protocolosproced establec ejecut trabaj form simultane especial carg proxim vehicul maquinari personal proced segur comun person exterior recepcion orden trabaj repar revision manten circul pist acces frent explot º normat legisl ley noviembr prevencion riesg laboral derech oblig instruccion trabaj disposicion intern segur,"La presente especificación técnica tiene por objeto desarrollar el contenido mínimo de la formación preventiva específica para el desempeño del puesto de operador de maquinaria de transporte en actividades extractivas de exterior, en particular los puestos de operador de volquete y conductor de camión encuadrados en el grupo 5.2. e), según lo establecido en el apartado 6.2 de la instrucción técnica complementaria 02.1.02 «Formación preventiva para el desempeño del puesto de trabajo», del Reglamento General de Normas Básicas de Seguridad Minera",Piedra natural,es
"P.G. CORTES DE TENSION 25 KV,3 KV,1,5 KV",Electricidad y electrónica,introduccion objet alcanceambit aplic respons definicion descripcion proces document referent registr anex,"Capacitar para la metodología a utilizar para la realización de los  cortes de tensión en las líneas electrificadas a 25 kV c.a., 3kV c.c y  1,5 kV c.c.",Instalaciones eléctricas,es
CORRECCIÓN PROFESIONAL ON LINE II,Artes gráficas,unid didact metodolog ii metod trabaj sign llam plantill llam marc correccion organiz hoj trabaj bibliograf herramient fundamental document trabaj corrector unid didact correccion primer prueb cons trabaj unid didact ortotipograf lectur ortotipograf ortotipograf lectur ortotipograf sign interrog exclam punt suspens negrit cursiv comill ray guion uso mayuscul minuscul abreviatur sigl acron simbol parentesis corchet barr sign union separ element escritur ortograf expresion procedent lengu ortograf expresion numer unid didact lectur gramatical error gramatical acentu concord verb gener numer pronombr palabr secuenci dificil ortograf preposicion anex unid didact lectur maquet maquet herramient maquet correccion maquet termin maquet deb detect secuenci jerarqu apart subapart capitul seccion etc secuenci form organiz tabl figur cuadr map ilustr pies fotograf ilustr aparat grafic imagen unif element relacion clasif elimin call blanc utiliz espaci dentr text pros interletraj pagin revision cabez pie pagin cort palabr cit text coincident palabr fras lin viud huerfan lin cort unif estil sangr justif alin unid didact correccion especial referent cruz not indic bibliograf unid didact plantill normaliz plantill normaliz unid didact evalu material registr encarg evalu calcul canon pagin organiz tiemp trabaj metodolog seguimient entreg trabaj unid didact proyeccion profesional trabaj corrector freelanc campañ promocion personal curricul planif persistent prim trabaj ingres tramit legal inici activ trabaj contrat laboral dud particip asoci profesional unid didact informat introduccion corrector context proces edicion informat ventaj trabaj word util inutil inutil ayud offic autocorreccion corrector informat util recuent caracter util simbol map caracter util control cambi util busc reemplaz herramient analisis util macr com automatiz tar limpiez bibliograf complementari,"Nuestro objetivo principal es que adquieras la formación necesaria para poder dedicarte profesionalmente a la corrección. Podrás desarrollar tu trabajo en editoriales, periódicos, revistas, agencias de comunicación... Para ello, te ofrecemos una amplia visión de las labores realizadas en la corrección. Asimismo, tendrás la oportunidad de estudiar y revisar una gran cantidad de aspectos relacionados con la gramática y la ortografía, y podrás conocer en profundidad el uso de los diferentes recursos tipográficos que se utilizan en la composición de los textos, además de la metodología empleada en las diferentes áreas de corrección.",Edición,es
